,Company,Title,Salary_Range,Responsibilities,Requirements,Seniority,Employment_Type,Category,Address
0,HITACHI CONSULTING SINGAPORE PTE. LTD.,Senior Consultant (Data Scientist),"$6,000to$9,000","Roles & Responsibilities Problem solver with curious mindset with a high execution bias having relevant work experience in Data Science in engineering domain. Data scientist with hands on expertise in building and executing analytics modules on various technology platforms including big data technology platforms. Own and complete work streams from business levers, domain know-hows and bias for execution and delivery. Be able to compile results from various work streams and be able to make coherent presentations to internal and external stakeholders. Experience in building or managing data products, high performer and problem solver. Applying best practices to manage solution implementations including code design and reviews ","Requirements Sound knowledge of machine learning concepts. Illustrative machine learning methodologies are: 	 Bagging, Boosting, Regularization, Online Learning, One Hot Encoder etc. Statistical modeling - CHAID, CART, Regressions, SVM, SVD etc. Experience on the text analytics stack - NLP, NLU, LDA, TF-IDF etc.   Ability to communicate analytics-based insights to business stakeholders. Independent problem solver comfortable to work in an ambiguous solution space. Strong PPT Skills, Excel Demonstrated experience in delivering analytics projects in high pressure environments MS in Computer Science, Engineering, Mathematics, Statistics or a related field with solid exposure to Machine Learning and/or Advanced Analytics with 5+ years of experience in predictive analytics and exposure to big data analytics. MBAs with relevant data science skills will also be considered. Strong understanding of the electrical engineering domain. Strong coding skills in Python is a must, and in other languages like R and SQL, Hive Sql Hands-on experience with Python libraries - NumPy, Pandas, sklearn Hands-on knowledge of working with scalable platforms for processing large and/or complex multi-source data sets using Hive, Hadoop or Spark (PySpark) is a plus. Comfortable with working on Unix, Windows and databases like Elastic Search and MongoDB Demonstrated the use of data optimization (Linear/Non-linear) to solve constrained business problems Comfortable with working on Unix, Windows and databases like Elastic Search and MongoDB ",Senior Executive,"Permanent, Contract",Information Technology,"PLAZA 8 @ CBP, 1 CHANGI BUSINESS PARK CRESCENT 486025"
1,TRAVELOKA SERVICES PTE. LTD.,Data Science Lead,"$10,000to$15,000","Roles & ResponsibilitiesAs a Data scientist, you play a key role to solve complex problems and drive insights from our sea of data    You will be responsible for:  Enhance our data infra, analyze large, complex datasets into actionable insights Use data to solve complex problems which are pivotal to our business  You will work in cross-functional teams and meet great people regularly from top tier technology, consulting, product, or academic background. We work in open environment where there are no boundaries or power distance. Everyone is encouraged to speak their mind, propose ideas, influence others, and continuously grow themselves. Get the exposure to multi-aspect, collaborative, intensive startup experience with our recent expansion into Southeast Asia and exploration of new products. ","RequirementsWe are looking for someone with:  Passion in big data Solid analytical and problem solving skills to create data-driven insights Bachelors/Masters/PhD degree from top universities in a quantitative field (Physics, Mathematics, Computer Science, Engineering, etc.) Plus: Knows programming language (e.g. Python, Java, Haskell) and past participation in science Olympiad or Kaggle. Able to lead a team of Data Scientist ",Manager,Full Time,Information Technology,
2,TRAVELOKA SERVICES PTE. LTD.,Senior Level Data Scientist,"$8,300to$15,000","Roles & ResponsibilitiesJob Description As a Data scientist, you will be applying machine learning techniques such as deep learning, reinforced learning, decision tree learning and other techniques to solve complex problems and drive insights from our sea of data. You will be responsible for:   Analyzing large, complex datasets into actionable insights   Use data to solve complex problems which are pivotal to our business   Effectively conceptualize analysis to internal stakeholders   Conduct advanced statistical analysis   Develop practical algorithms and frameworks to optimize Traveloka’s capabilities   Working in Traveloka:   You will work in cross-functional teams and meet great people regularly from top tier technology, consulting, product, or academic background.   We work in open environment where there are no boundaries or power distance.   Everyone is encouraged to speak their mind, propose ideas, influence others, and continuously grow themselves.   Get the exposure to multi-aspect, collaborative, intensive startup experience with our recent expansion into Southeast Asia and exploration of new products.  ","Requirements  Solid programming skills and understanding of statistical models   Bachelors/Masters/PhD degree from top universities in a quantitative field (Physics, Mathematics, Computer Science, Engineering, etc.)   8+ years of relevant experience in Advance Analytics   Experienced in tools such as: R, python, MATLAB and etc   Experienced in machine learning libraries such as: Tensorflow, Theano, Keras, Scikit-learn, SciPy and etc.   Solid analytical and problem solving skills to create data-driven insights   Passion in big data  ",Executive,Permanent,Information Technology,
3,TRAVELOKA SERVICES PTE. LTD.,Mid - Senior Level Data Scientist,"$6,100to$10,700","Roles & ResponsibilitiesAs a Data scientist, you will be applying machine learning techniques such as deep learning, reinforced learning, decision tree learning and other techniques to solve complex problems and drive insights from our sea of data. You will be responsible for:   Analyzing large, complex datasets into actionable insights   Use data to solve complex problems which are pivotal to our business   Effectively conceptualize analysis to internal stakeholders   Conduct advanced statistical analysis   Develop practical algorithms and frameworks to optimize Traveloka’s capabilities   Working in Traveloka:   You will work in cross-functional teams and meet great people regularly from top tier technology, consulting, product, or academic background.   We work in open environment where there are no boundaries or power distance.   Everyone is encouraged to speak their mind, propose ideas, influence others, and continuously grow themselves.   Get the exposure to multi-aspect, collaborative, intensive startup experience with our recent expansion into Southeast Asia and exploration of new products.  ","Requirements  Solid programming skills and understanding of statistical models   Bachelors/Masters/PhD degree from top universities in a quantitative field (Physics, Mathematics, Computer Science, Engineering, etc.)   6+ years of relevant experience in Advance Analytics   Experienced in tools such as: R, python, MATLAB and etc   Experienced in machine learning libraries such as: Tensorflow, Theano, Keras, Scikit-learn, SciPy and etc.   Solid analytical and problem solving skills to create data-driven insights   Passion in big data  ",Executive,Permanent,Information Technology,
4,TRAVELOKA SERVICES PTE. LTD.,Mid Level Data Scientist,"$4,300to$7,600","Roles & ResponsibilitiesAs a Data scientist, you will be applying machine learning techniques such as deep learning, reinforced learning, decision tree learning and other techniques to solve complex problems and drive insights from our sea of data. You will be responsible for:   Analyzing large, complex datasets into actionable insights   Use data to solve complex problems which are pivotal to our business   Effectively conceptualize analysis to internal stakeholders   Conduct advanced statistical analysis   Develop practical algorithms and frameworks to optimize Traveloka’s capabilities   Working in Traveloka:   You will work in cross-functional teams and meet great people regularly from top tier technology, consulting, product, or academic background.   We work in open environment where there are no boundaries or power distance.   Everyone is encouraged to speak their mind, propose ideas, influence others, and continuously grow themselves.   Get the exposure to multi-aspect, collaborative, intensive startup experience with our recent expansion into Southeast Asia and exploration of new products.  ","Requirements  Solid programming skills and understanding of statistical models   Bachelors/Masters/PhD degree from top universities in a quantitative field (Physics, Mathematics, Computer Science, Engineering, etc.)   3+ years of relevant experience in Advance Analytics   Experienced in tools such as: R, python, MATLAB and etc   Experienced in machine learning libraries such as: Tensorflow, Theano, Keras, Scikit-learn, SciPy and etc.   Solid analytical and problem solving skills to create data-driven insights   Passion in big data  ",Executive,Permanent,Information Technology,
5,,,,,,,,,
6,OVERSEA-CHINESE BANKING CORPORATION LIMITED,Data Scientist,"$4,800to$8,000","Roles & Responsibilities Develop data science solutions to support AML and Financial Crime Investigation activities in the organization. Design analytical solutions and experiments. Conduct data exploration, feature engineering, visualization and develop models. Be a thought-leader and drive innovation within the organization. ","Requirements Degree in a quantitative subject (e.g. Computer Science, Statistics, Mathematics, Artificial Intelligence, Machine Learning or related field). Minimum 5 years of working experience with AI, ML, Data Science or a related field. Strong proficiency in at least one programming language. Experience with Python preferred. Experience in applying machine learning techniques and designing algorithms that are scalable and production-grade. Clear communicator, with the ability to articulate ideas with data. Experience with operating in a corporate environment and stakeholder management. Strong results driven personality with an innovative spirit.  Preferred:  Experience with network analysis techniques and in developing machine learning solution in the AML field would be a strong advantage. Exposure to financial crime investigations and familiarity with existing and emerging criminal topologies would be advantageous, though not required.   ",Professional,Permanent,Banking and Finance,63 CHULIA STREET 049514
7,MERCK PTE. LTD.,Data Scientist,"$9,500to$13,000","Roles & ResponsibilitiesKEY ACCOUNTABILITIES: Subject Matter Expertise  Apprehend IT & data landscape Explore different data sources and be able to extract, clean and manipulate the data Be the Research & Applied business data owner for APAC, ensure data integrity and reliablity Appreciate business challenges, translate and break them down into smaller problem statements addressable through data & technology Develop data analytics models including extra large data sets’ processing algorythms (big data) and predictive analytics models     Analyse data-based models’ outputs and draw out relevant business insights and actionable recommendations  Collaboration  Work collaboratively with business, operations and IT to bridge the gap between business needs and technical feasibility Work collaboratively with global and country led data teams and ensure efforts are mutualized and knowledge is shared across Drive the development of our analytical capabilities and contribute to the fostering of a data driven culture Assist in the improvement of our tools and systems Support APAC Head of Commercial Strategy & Analytics prepare relevant, data-based reports and dashboards for decision makers ","Requirements   Advanced degree in Computer Science, Engineering, Applied Mathematics or another relevant quantitative/scientific field 3+ years of deep technical experience in predictive analytics, machine learning, optimization, and fluent in a number the following technologies: R, Python, SQL, AWS, Tableau Proven track record in industrial, chemical, biotechnology business with statistical analysis and big data methodological services Expertise in modeling and simulation Strong intrinsic analytical skills, ability to structure and solve problems and conduct and interpret analysis independently Passion for new technologies and demonstrated learning agility   Developed business acumen, ability to communicate and present effectively to a wide variety of audiences with impact Ability to work in a matrix environment and build multi-dimensional relationships and cross function teaming Excellent command of English (written and verbal), with a proactive and assertive approach ",Professional,Permanent,Information Technology,"ASCENT, 2 SCIENCE PARK DRIVE 118222"
8,RAKUTEN ASIA PTE. LTD.,Data Scientist,"$5,000to$10,000","Roles & ResponsibilitiesAbout Rakuten Institute of Technology (RIT)  Rakuten Institute of Technology (RIT) is a think-tank and technology incubator for Rakuten Group – focusing on data R&D and strategic technology development.   With offices in Tokyo, Boston, Paris, and Singapore, RIT contributions cover a broad range of topics, including Data Mining, Natural Language Processing, High-performance computing, UI/UX, and multimedia processing.   Scope  Rakuten Institute of Technology (RIT) is looking for Researchers who are passionate about data and technology.   As part of RIT, you will have an exciting opportunity to accelerate growth of existing Rakuten businesses, and to drive innovation with long-term benefits for the company; while collaborating closely with research, engineering, and business teams globally.","RequirementsBe an expert and drive research results in one or more of the below areas:   Machine Learning, Statistics, Information Retrieval, Recommender Systems, Natural Language Processing, Machine Translation, Sentiment Analysis, Graph Analysis, Computer Vision, Augmented/Virtual Reality, Other emerging technologies Deliver results: Develop new technologies, improve business performance Demonstrate long-term vision, while effectively supporting short-term goals Be a thought-leader, keeping up with the academic and industry trends ","Manager, Executive",Full Time,Information Technology,"CAPITAGREEN, 138 MARKET STREET 048946"
9,EPS COMPUTER SYSTEMS PTE LTD,Data Scientist (Project Manager),"$6,000to$9,000","Roles & Responsibilities Project management of development and implementation of Data Analytics projects. Responsible for leading the implementation of Analytic projects by taking into consideration the client’s business case, objectives, requirements and the proposed solution. Design & Build – Conceptual, logical and physical data modelling, information delivery standards, best practices, security in the information delivery environment, information delivery architecture. Assess the readiness of the information delivery environments (including the systems, tools, technologies, processes, and resource requirements) to implement the architecture. Support pre-sales for solution architecture and estimation for Analytics projects. Support delivery planning for Analytic projects, including inputs for project schedule, key deliverables etc. Proactive identification, communication, and management of project risks and issues. Management of project scope and management of the SOW change control process as appropriate. Coordination and enablement of all project sub-teams (analyst, developers, etc.) to ensure they can effectively accomplish their goals. Responsible for project P&L and team utilisation. ","RequirementsRequirements:  PhD/Masters/Bachelors (with good honours) in Computer Science, Statistics, Applied Mathematics, Operations Research, or related disciplines. Prefer candidates with 8 or more years of working experience, with at least 2 years of Artificial Intelligence (AI), Machine Learning (ML), and Advanced Analytics (AA) experience. Proven track record of managing delivery of end-to-end development projects to customer Domain experience in public safety, defence, transport, education, and healthcare are highly desired. AI/ML/AA experience in smart city, social media, and procurement are also highly desired.  Good knowledge of AI/ML/AA models, software, and tools with the ability to conceptualise and architect the key components of AI/ML/AA projects; and to develop prototypes using statistical software packages such as R/SAS/SPSS.  HOW TO APPLY Kindly submit your updated resume in MS Word Format to: camille@eps.com.sg for immediate processing. Do state your availability, current and expected salaries in your resume/email.  Camille Wee (EA Registration No. : R1654076)  ",Manager,"Permanent, Contract, Full Time",Information Technology,"SPORE BUSINESS FEDERATION CTR, 160 ROBINSON ROAD 068914"
10,MICROSEC PTE. LTD.,Senior Data Scientist,"$4,500to$6,500","Roles & ResponsibilitiesResponsibilities: 1. Developing, enhancing, automating, and managing analytics models for anomaly detection. 2. Run those models into production environment with static as well as distributed databases. 3. Exploring and evaluating new digital tools and techniques to improve the product’s operational capabilities 4. Provide engineering support of key testing activities, including support of laboratory and field testing activities Outcome: The candidate will get to work on the state of the art intrusion attacks and how to prevent them. As a startup company, the candidate will get to work on wide domain of technologies which will increase the breadth of the experience of the candidate. This will provide an insight information about the industry trend and will groom the candidate for future prospects.","RequirementsRequirements: At least 5 year of experience in Python, Unix/Linux with machine learning tools including Tensorflow, LSTM and other models. Should have designed and built at least one system from ground up and made it into an application. Should also have experience in building APIs and using it for application integration along with Visualization tools using Python based production environment.",Senior Management,"Permanent, Full Time",Telecommunications,
11,DATAROBOT SINGAPORE PTE. LTD.,Applied Data Science Associate,"$90,000to$150,000","Roles & ResponsibilitiesLooking to move into Data Science? Want to learn from some of the world’s leading data scientists? Want to work on real problems and have an impact in the real world? Do you enjoy discovering actionable insights from data? Do you like bringing innovative solutions to market and driving adoption? Do you have passion for customer success? Join DataRobot as an Applied Data Science Associate.  At DataRobot, you will undergo a year long training program that will sharpen both your data science and customer-facing skills. We will spend the first six months deepening your understanding of data science as an applied science. We will develop your skills to allow you to have a real-world business impact using data science. This will involve an understanding of the entire data science lifecycle and how to carry out projects that can drive business.  Upon completion of this training, you will spend the next six months working under the direction of our customer-facing data scientist and sales team with our customers. Working with them, you will learn to develop client relationships and deliver practical data science solutions for customers across a variety of industries. You will gain experience leading technical demonstrations of DataRobot, helping clients develop models that add value to their organizations, and integrating those models into client environments.  At the completion of this program, you will work on a capstone project to deliver value to an active customer or prospect. Following the successful completion of this project, you will be promoted to Applied Data Scientist and work as a member of our Customer Facing Data Scientist team.  ","RequirementsMain Requirements  Experience/Training in science, engineering, or computer science Excellent organizational, communication, writing and interpersonal skills Up to 50% travel  Desired Skills  Strong customer interaction skills Fluency with scripting (Python / R) Familiarity with machine learning techniques and use cases Familiarity with a variety of technical tools for the manipulation of datasets Experience with machine learning techniques Hands-on experience building and implementing predictive models ",Professional,Permanent,Information Technology,80 ROBINSON ROAD 068898
12,Company Undisclosed,SENIOR DATA SCIENTIST,"$7,000to$9,500","Roles & Responsibilities Applying data mining techniques, doing statistical analysis, and building high quality prediction systems integrated with our products. Work closely with customers (both internal & external) to define problems, acquire required data, enhancing data collection procedures to include information that is relevant for building analytic systems / solutions.  Define, build, deliver, maintain and enhance data analysis, machine learning frameworks, algorithms; Measure effectiveness of the deployed solutions and improve them to meet the objectives. Creating automated anomaly detection systems and constant tracking of its performance : Selecting features, building and optimizing classifiers using machine learning technique. Closely work with Solution/ IT architects to develop algorithms/ software / technologies, file patents, publish white papers, customer success stories etc. Contribute to Design & Development of Proof of Concepts, Products & Services in collaboration with the customer and other teams of Yokogawa. ","Requirements Good understanding of Process & Mathematical Modelling Data Mining,  Analytics, Neural Networks Working Experience of modeling tools like MATLAB, scikit, maptolib etc.  scripting tools like Python, R etc. Good understanding of operational workflows in petrochemical plant Dashboard / Visualization development using Tableaux Intellectual Property , Published Technical papers in internationally recognized and peer reviewed journals Data Scientist at Reliance Petrochemicals – Surat / Jamnagar Complex (Largest Integrated Petro Complex in the World) Optimization of time taken in sampling & Melt Fluid Index based quality improvement in a PP Process Optimization of skin temperature management in PP process IP / Patent on related areas of Petrochem Worked both in a lab & end user environment to understand problem identification & Problem solving Convinced Plant Operators and Process Engineers ",Senior Executive,"Contract, Full Time","Engineering, Information Technology",
13,XYPHER PTE. LTD.,Data Scientist,"$4,500to$6,000","Roles & ResponsibilitiesAs a Data Scientist at DATAVLT, you will be reporting to the Head of Data Scientist and Software Engineers who are focused on solving complex business problems using blockchain and data science as an underlying technology.   Responsibilities As our Data Scientist, you will  Process confidential data and information according to guidelines Help on build innovative data products using cutting edge tools and technologies Develop custom data models and algorithms to apply to data sets. Undertake pre-processing of structured and unstructured data Analyse large amounts of information to discover trends and patterns Propose solutions and strategies to business challenges Coordinate with different functional teams to implement models and monitor outcomes.   ","RequirementsIdeal candidate should possess the skills as specified below:   Required Technical and Professional Expertise:  Proficiency using statistical computer languages (R, Python, SLQ, etc.) to manipulate data and draw insights from large data sets. Have foundational knowledge of data structures and algorithms Excellent analytical, interpersonal and communication skills. Strong problem-solving skills with an emphasis on product development. Experience working with and creating data architectures. Knowledge of a variety of machine learning techniques (clustering, decision tree learning, artificial neural networks, etc.) and their real-world advantages/drawbacks. Knowledge of advanced statistical techniques and concepts (regression, properties of distributions, statistical tests and proper usage, etc.) and experience with applications. Excellent written and verbal communication skills for coordinating across teams. Experience with distributed data/computing tools: Map/Reduce, Hadoop, Hive, Spark, Dockers, MySQL, etc. Experience visualizing/presenting data for stakeholders using: Tableau, High charts, D3, gg plot, etc.    Good to have  Minimum 3 years working experience manipulating data sets and building statistical models, has a Master’s in Statistics, Mathematics, Computer Science or another quantitative field, and is familiar with the software/tools Experience with customizing Data Visualization tools Have fundamental knowledge of blockchain technology Software development experience added advantage A drive to learn and master new technologies and techniques.    What's in it for you  Help shape the future of a Data Analytics and Blockchain start-up in Singapore with global aspirations Be yourself, be engaged and have fun while you're at it Fair remuneration Open work culture ","Professional, Executive",Full Time,Information Technology,
14,VALIDUS CAPITAL PTE. LTD.,Senior Data Scientist,"$5,000to$8,000","Roles & Responsibilities Experience with building insights using varied/alternate data sources Actively collaborate with technology team, product management, operations teams and other stake holders. Move seamlessly between business problems and coding. Present complicated analytical solutions to a non-technical audience Work with very large data sets residing in different data stores in disparate format Readiness to work in a highly results-oriented and fast changing landscape in a fintech startup Fluency with R, python and commonly used machine learning frameworks Fluency with excel and advanced excel Work closely with various stakeholders in the organization to design and implement the data warehouse/data lake Build key data sets to empower insights Credit risk modelling for underwriting and portfolio monitoring using traditional and alternate data sources. Enhancing data collection procedures to include information that is relevant for building analytic systems Define the right type of data and metadata, ensure consistent, clean and integrated data which will be used by business leaders to make more informed decisions. ","Requirements Min 4+ years experience doing quantitative analysis; Preferred experience in banking, payments, B2B Lending space BA/BS in Computer Science, Math, Engineering, Statistics or other technical field. Advanced degrees preferred. Fluency in SQL, Spark or other programming languages. Development experience in R, Python Advanced understanding of statistical analysis Ability to apply analytics in all aspects of the business - risk, marketing, process etc Must be entrepreneurial, and a problem solver ",Middle Management,"Permanent, Full Time","Risk Management, Banking and Finance","THE ARCADE, 11 COLLYER QUAY 049317"
15,MANPOWER STAFFING SERVICES (SINGAPORE) PTE LTD,Business Data Scientist,"$5,000to$8,500","Roles & Responsibilities Work closely with the business to identify issues and use data to propose solutions for effective decision making Merge, manage, interrogate and extract data to supply tailored reports to colleagues, customers or the wider organisation Maintain clear and coherent communication, both verbal and written, to understand data needs and report results Use machine learning tools and statistical techniques to produce solutions to problems Create clear reports that tell compelling stories about how customers or clients work with the business Horizon scan to stay up to date with latest technology, techniques and methods Conduct research from which you'll develop prototypes and proof of concepts Able to engage with client and demonstrate present technologies ","Requirements Minimum of 4-5 years’ experience with the standard data science stack -- Python, Numpy, Pandas, Scikit-Learn, scipy, matplotlib, NLTK, etc.). Familiarity with (some of) Keras, Tensorflow, Theano, R, C/C++, Java, Hadoop, or Spark Experience in relevant area of scientific disciplines (e.g., machine learning, numerical methods, signal processing, statistics, mathematics, and optimization) Ability to function in Linux operating system and development environment is nice to have    Interested candidates can click apply for more information. ** We regret to inform that only shortlisted candidates will be notified. ** We respect your privacy and all communication will be treated with confidentiality.  If you wish to know more about this position or explore other roles, please prepare your updated profile and get in touch with our consultants. Please note that your response to this advertisement and communications with us pursuant to this advertisement will constitute informed consent to the collection, use and/or disclosure of personal data by Manpower for the purpose of carrying out its business, in compliance with the relevant provisions of the Personal Data Protection Act 2012.  ",Executive,"Contract, Full Time",Information Technology,"GUOCO TOWER, 1 WALLICH STREET 078881"
16,LAM RESEARCH SINGAPORE PTE LTD,Data Scientist,"$6,000to$9,000","Roles & ResponsibilitiesA technical expert who will work with multi-dimensional datasets from various time-series sensors to help develop generative and discriminative models. Responsibilities include creating Python applications that parse and format large data sets for analysis, developing or specifying DB pipelines for image storage and data retrievability, helping with creating and deploying apps while providing UX feedback, working with, and supply models to process engineers for increase speed to solutions and developing or specifying DB pipelines for image storage and data retrievability.","Requirements Bachelor or Masters in Data Science, Computer Science, Electrical Engineering, Physics, Materials Science or related field. At least one year of experience with creating code for formatting large data sets in Python, C, or R Solid mathematics background (linear algebra, probability, optimization). Knowledge in deep learning architectures for computer vision, and associated libraries and frameworks is preferred (Spark, Keras, Tensorflow, OpenCV, Skimage, etc.). Experience with solr, and SQL or HDFS/HBase is a plus At least three years of experience within the semiconductor or related field is preferred. Previous work analyzing multi-dimensional data, including segmentation, reconstruction, classification, or manipulation is a big plus Strong communication skills. ",Professional,"Permanent, Full Time",Engineering,
17,DBS BANK LTD.,"AVP, Data Scientist, Analytics & Innovation, Group Legal, Compliance and Secretariat (WD03653)","$6,500to$11,700","Roles & ResponsibilitiesBusiness Function   Group Technology and Operations (T&O) enables and empowers the bank with an efficient, nimble and resilient infrastructure through a strategic focus on productivity, quality & control, technology, people capability and innovation. In Group T&O, we manage the majority of the Bank's operational processes and inspire to delight our business partners through our multiple banking delivery channels.       Responsibilities     Conceptualise, develop and deliver relevant analytics models and solutions focusing but not limited to the area of Financial Crime. Condense analysis into actionable insights to inform decision making, develop strategy and standards for enhancing business performance and operations at LCS.  Facilitate deployment of finalised solution to production environment. Monitor model performance over time, improving and retraining model where necessary. Work with domain experts and data scientists from cross functional teams to drive projects and guide juniors as required. ","Requirements Minimum Bachelor’s degree with at least 8 years of relevant working experience. Excellent advanced analytics skills, with at least 5 years of prior industry experience in developing machine learning solutions for classification, prediction, forecasting and/or anomaly detection problems. Strong expertise in graph mining, deep learning and NLP. Familiarity with Big Data technologies such as Hadoop, Spark and Impala. Highly proficient in Python and Spark. Enjoy working on difficult problems, using cutting-edge tools in an agile environment. An understanding of the legal and compliance issues of complex banking organizations.      ",Senior Management,Full Time,Information Technology,"MARINA BAY FINANCIAL CENTRE, 12 MARINA BOULEVARD 018982"
