Company,Title,Responsibilities,Requirements,Seniority,Employment_Type,Category,Address,Salary_Min,Salary_Max,Salary_Average
Hitachi Consulting Singapore ,Data Scientist, Problem solver with curious mindset with a high execution bias having relevant work experience in Data Science in engineering domain Data scientist with hands on expertise in building and executing analytics modules on various technology platforms including big data technology platforms Own and complete work streams from business levers domain knowhows and bias for execution and delivery Be able to compile results from various work streams and be able to make coherent presentations to internal and external stakeholders Experience in building or managing data products high performer and problem solver Applying best practices to manage solution implementations including code design and reviews , Sound knowledge of machine learning concepts Illustrative machine learning methodologies are 	 Bagging Boosting Regularization Online Learning One Hot Encoder etc Statistical modeling  CHAID CART Regressions SVM SVD etc Experience on the text analytics stack  NLP NLU LDA TFIDF etc   Ability to communicate analyticsbased insights to business stakeholders Independent problem solver comfortable to work in an ambiguous solution space Strong PPT Skills Excel Demonstrated experience in delivering analytics projects in high pressure environments MS in Computer Science Engineering Mathematics Statistics or a related field with solid exposure to Machine Learning andor Advanced Analytics with 5 years of experience in predictive analytics and exposure to big data analytics MBAs with relevant data science skills will also be considered Strong understanding of the electrical engineering domain Strong coding skills in Python is a must and in other languages like R and SQL Hive Sql Handson experience with Python libraries  NumPy Pandas sklearn Handson knowledge of working with scalable platforms for processing large andor complex multisource data sets using Hive Hadoop or Spark PySpark is a plus Comfortable with working on Unix Windows and databases like Elastic Search and MongoDB Demonstrated the use of data optimization LinearNonlinear to solve constrained business problems Comfortable with working on Unix Windows and databases like Elastic Search and MongoDB ,Senior Executive,Permanent,Information Technology,Plaza 8  Cbp 1 Changi Business Park Crescent 486025,6000.0,9000.0,7500.0
Traveloka Services ,Data Science Lead,As a Data scientist you play a key role to solve complex problems and drive insights from our sea of data    You will be responsible for  Enhance our data infra analyze large complex datasets into actionable insights Use data to solve complex problems which are pivotal to our business  You will work in crossfunctional teams and meet great people regularly from top tier technology consulting product or academic background We work in open environment where there are no boundaries or power distance Everyone is encouraged to speak their mind propose ideas influence others and continuously grow themselves Get the exposure to multiaspect collaborative intensive startup experience with our recent expansion into Southeast Asia and exploration of new products ,We are looking for someone with  Passion in big data Solid analytical and problem solving skills to create datadriven insights BachelorsMastersPhD degree from top universities in a quantitative field Physics Mathematics Computer Science Engineering etc Plus Knows programming language eg Python Java Haskell and past participation in science Olympiad or Kaggle Able to lead a team of Data Scientist ,Manager,Permanent,Information Technology,Undisclosed,10000.0,15000.0,12500.0
Traveloka Services ,Senior Data Scientist,Job Description As a Data scientist you will be applying machine learning techniques such as deep learning reinforced learning decision tree learning and other techniques to solve complex problems and drive insights from our sea of data You will be responsible for   Analyzing large complex datasets into actionable insights   Use data to solve complex problems which are pivotal to our business   Effectively conceptualize analysis to internal stakeholders   Conduct advanced statistical analysis   Develop practical algorithms and frameworks to optimize Travelokas capabilities   Working in Traveloka   You will work in crossfunctional teams and meet great people regularly from top tier technology consulting product or academic background   We work in open environment where there are no boundaries or power distance   Everyone is encouraged to speak their mind propose ideas influence others and continuously grow themselves   Get the exposure to multiaspect collaborative intensive startup experience with our recent expansion into Southeast Asia and exploration of new products  ,  Solid programming skills and understanding of statistical models   BachelorsMastersPhD degree from top universities in a quantitative field Physics Mathematics Computer Science Engineering etc   8 years of relevant experience in Advance Analytics   Experienced in tools such as R python MATLAB and etc   Experienced in machine learning libraries such as Tensorflow Theano Keras Scikitlearn SciPy and etc   Solid analytical and problem solving skills to create datadriven insights   Passion in big data  ,Executive,Permanent,Information Technology,Undisclosed,8300.0,15000.0,11650.0
Traveloka Services ,Mid - Senior Level Data Scientist,As a Data scientist you will be applying machine learning techniques such as deep learning reinforced learning decision tree learning and other techniques to solve complex problems and drive insights from our sea of data You will be responsible for   Analyzing large complex datasets into actionable insights   Use data to solve complex problems which are pivotal to our business   Effectively conceptualize analysis to internal stakeholders   Conduct advanced statistical analysis   Develop practical algorithms and frameworks to optimize Travelokas capabilities   Working in Traveloka   You will work in crossfunctional teams and meet great people regularly from top tier technology consulting product or academic background   We work in open environment where there are no boundaries or power distance   Everyone is encouraged to speak their mind propose ideas influence others and continuously grow themselves   Get the exposure to multiaspect collaborative intensive startup experience with our recent expansion into Southeast Asia and exploration of new products  ,  Solid programming skills and understanding of statistical models   BachelorsMastersPhD degree from top universities in a quantitative field Physics Mathematics Computer Science Engineering etc   6 years of relevant experience in Advance Analytics   Experienced in tools such as R python MATLAB and etc   Experienced in machine learning libraries such as Tensorflow Theano Keras Scikitlearn SciPy and etc   Solid analytical and problem solving skills to create datadriven insights   Passion in big data  ,Executive,Permanent,Information Technology,Undisclosed,6100.0,10700.0,8400.0
Traveloka Services ,Mid Level Data Scientist,As a Data scientist you will be applying machine learning techniques such as deep learning reinforced learning decision tree learning and other techniques to solve complex problems and drive insights from our sea of data You will be responsible for   Analyzing large complex datasets into actionable insights   Use data to solve complex problems which are pivotal to our business   Effectively conceptualize analysis to internal stakeholders   Conduct advanced statistical analysis   Develop practical algorithms and frameworks to optimize Travelokas capabilities   Working in Traveloka   You will work in crossfunctional teams and meet great people regularly from top tier technology consulting product or academic background   We work in open environment where there are no boundaries or power distance   Everyone is encouraged to speak their mind propose ideas influence others and continuously grow themselves   Get the exposure to multiaspect collaborative intensive startup experience with our recent expansion into Southeast Asia and exploration of new products  ,  Solid programming skills and understanding of statistical models   BachelorsMastersPhD degree from top universities in a quantitative field Physics Mathematics Computer Science Engineering etc   3 years of relevant experience in Advance Analytics   Experienced in tools such as R python MATLAB and etc   Experienced in machine learning libraries such as Tensorflow Theano Keras Scikitlearn SciPy and etc   Solid analytical and problem solving skills to create datadriven insights   Passion in big data  ,Executive,Permanent,Information Technology,Undisclosed,4300.0,7600.0,5950.0
Oversea-Chinese Banking Corporation ,Data Scientist, Develop data science solutions to support AML and Financial Crime Investigation activities in the organization Design analytical solutions and experiments Conduct data exploration feature engineering visualization and develop models Be a thoughtleader and drive innovation within the organization , Degree in a quantitative subject eg Computer Science Statistics Mathematics Artificial Intelligence Machine Learning or related field Minimum 5 years of working experience with AI ML Data Science or a related field Strong proficiency in at least one programming language Experience with Python preferred Experience in applying machine learning techniques and designing algorithms that are scalable and productiongrade Clear communicator with the ability to articulate ideas with data Experience with operating in a corporate environment and stakeholder management Strong results driven personality with an innovative spirit  Preferred  Experience with network analysis techniques and in developing machine learning solution in the AML field would be a strong advantage Exposure to financial crime investigations and familiarity with existing and emerging criminal topologies would be advantageous though not required   ,Professional,Permanent,Banking and Finance,63 Chulia Street 049514,4800.0,8000.0,6400.0
Merck ,Data Scientist,KEY ACCOUNTABILITIES Subject Matter Expertise  Apprehend IT  data landscape Explore different data sources and be able to extract clean and manipulate the data Be the Research  Applied business data owner for APAC ensure data integrity and reliablity Appreciate business challenges translate and break them down into smaller problem statements addressable through data  technology Develop data analytics models including extra large data sets processing algorythms big data and predictive analytics models     Analyse databased models outputs and draw out relevant business insights and actionable recommendations  Collaboration  Work collaboratively with business operations and IT to bridge the gap between business needs and technical feasibility Work collaboratively with global and country led data teams and ensure efforts are mutualized and knowledge is shared across Drive the development of our analytical capabilities and contribute to the fostering of a data driven culture Assist in the improvement of our tools and systems Support APAC Head of Commercial Strategy  Analytics prepare relevant databased reports and dashboards for decision makers ,   Advanced degree in Computer Science Engineering Applied Mathematics or another relevant quantitativescientific field 3 years of deep technical experience in predictive analytics machine learning optimization and fluent in a number the following technologies R Python SQL AWS Tableau Proven track record in industrial chemical biotechnology business with statistical analysis and big data methodological services Expertise in modeling and simulation Strong intrinsic analytical skills ability to structure and solve problems and conduct and interpret analysis independently Passion for new technologies and demonstrated learning agility   Developed business acumen ability to communicate and present effectively to a wide variety of audiences with impact Ability to work in a matrix environment and build multidimensional relationships and cross function teaming Excellent command of English written and verbal with a proactive and assertive approach ,Professional,Permanent,Information Technology,Ascent 2 Science Park Drive 118222,9500.0,13000.0,11250.0
Eps Computer Systems ,Data Scientist, Project management of development and implementation of Data Analytics projects Responsible for leading the implementation of Analytic projects by taking into consideration the clients business case objectives requirements and the proposed solution Design  Build  Conceptual logical and physical data modelling information delivery standards best practices security in the information delivery environment information delivery architecture Assess the readiness of the information delivery environments including the systems tools technologies processes and resource requirements to implement the architecture Support presales for solution architecture and estimation for Analytics projects Support delivery planning for Analytic projects including inputs for project schedule key deliverables etc Proactive identification communication and management of project risks and issues Management of project scope and management of the SOW change control process as appropriate Coordination and enablement of all project subteams analyst developers etc to ensure they can effectively accomplish their goals Responsible for project PL and team utilisation ,  PhDMastersBachelors with good honours in Computer Science Statistics Applied Mathematics Operations Research or related disciplines Prefer candidates with 8 or more years of working experience with at least 2 years of Artificial Intelligence AI Machine Learning ML and Advanced Analytics AA experience Proven track record of managing delivery of endtoend development projects to customer Domain experience in public safety defence transport education and healthcare are highly desired AIMLAA experience in smart city social media and procurement are also highly desired  Good knowledge of AIMLAA models software and tools with the ability to conceptualise and architect the key components of AIMLAA projects and to develop prototypes using statistical software packages such as RSASSPSS  HOW TO APPLY Kindly submit your updated resume in MS Word Format to camilleepscomsg for immediate processing Do state your availability current and expected salaries in your resumeemail  Camille Wee EA Registration No  R1654076  ,Manager,Permanent,Information Technology,Spore Business Federation Ctr 160 Robinson Road 068914,6000.0,9000.0,7500.0
Microsec ,Senior Data Scientist,Responsibilities 1 Developing enhancing automating and managing analytics models for anomaly detection 2 Run those models into production environment with static as well as distributed databases 3 Exploring and evaluating new digital tools and techniques to improve the products operational capabilities 4 Provide engineering support of key testing activities including support of laboratory and field testing activities Outcome The candidate will get to work on the state of the art intrusion attacks and how to prevent them As a startup company the candidate will get to work on wide domain of technologies which will increase the breadth of the experience of the candidate This will provide an insight information about the industry trend and will groom the candidate for future prospects, At least 5 year of experience in Python UnixLinux with machine learning tools including Tensorflow LSTM and other models Should have designed and built at least one system from ground up and made it into an application Should also have experience in building APIs and using it for application integration along with Visualization tools using Python based production environment,Senior Management,Permanent,Telecommunications,Undisclosed,4500.0,6500.0,5500.0
Datarobot Singapore ,Applied Data Science Associate,Looking to move into Data Science Want to learn from some of the worlds leading data scientists Want to work on real problems and have an impact in the real world Do you enjoy discovering actionable insights from data Do you like bringing innovative solutions to market and driving adoption Do you have passion for customer success Join DataRobot as an Applied Data Science Associate  At DataRobot you will undergo a year long training program that will sharpen both your data science and customerfacing skills We will spend the first six months deepening your understanding of data science as an applied science We will develop your skills to allow you to have a realworld business impact using data science This will involve an understanding of the entire data science lifecycle and how to carry out projects that can drive business  Upon completion of this training you will spend the next six months working under the direction of our customerfacing data scientist and sales team with our customers Working with them you will learn to develop client relationships and deliver practical data science solutions for customers across a variety of industries You will gain experience leading technical demonstrations of DataRobot helping clients develop models that add value to their organizations and integrating those models into client environments  At the completion of this program you will work on a capstone project to deliver value to an active customer or prospect Following the successful completion of this project you will be promoted to Applied Data Scientist and work as a member of our Customer Facing Data Scientist team  ,Main   ExperienceTraining in science engineering or computer science Excellent organizational communication writing and interpersonal skills Up to 50 travel  Desired Skills  Strong customer interaction skills Fluency with scripting Python  R Familiarity with machine learning techniques and use cases Familiarity with a variety of technical tools for the manipulation of datasets Experience with machine learning techniques Handson experience building and implementing predictive models ,Professional,Permanent,Information Technology,80 Robinson Road 068898,7500.0,12500.0,10000.0
Company Undisclosed,Senior Data Scientist, Applying data mining techniques doing statistical analysis and building high quality prediction systems integrated with our products Work closely with customers both internal  external to define problems acquire required data enhancing data collection procedures to include information that is relevant for building analytic systems  solutions  Define build deliver maintain and enhance data analysis machine learning frameworks algorithms Measure effectiveness of the deployed solutions and improve them to meet the objectives Creating automated anomaly detection systems and constant tracking of its performance  Selecting features building and optimizing classifiers using machine learning technique Closely work with Solution IT architects to develop algorithms software  technologies file patents publish white papers customer success stories etc Contribute to Design  Development of Proof of Concepts Products  Services in collaboration with the customer and other teams of Yokogawa , Good understanding of Process  Mathematical Modelling Data Mining  Analytics Neural Networks Working Experience of modeling tools like MATLAB scikit maptolib etc  scripting tools like Python R etc Good understanding of operational workflows in petrochemical plant Dashboard  Visualization development using Tableaux Intellectual Property  Published Technical papers in internationally recognized and peer reviewed journals Data Scientist at Reliance Petrochemicals  Surat  Jamnagar Complex Largest Integrated Petro Complex in the World Optimization of time taken in sampling  Melt Fluid Index based quality improvement in a PP Process Optimization of skin temperature management in PP process IP  Patent on related areas of Petrochem Worked both in a lab  end user environment to understand problem identification  Problem solving Convinced Plant Operators and Process Engineers ,Senior Executive,Contract,Engineering Information Technology,Undisclosed,7000.0,9500.0,8250.0
Xypher ,Data Scientist,As a Data Scientist at DATAVLT you will be reporting to the Head of Data Scientist and Software Engineers who are focused on solving complex business problems using blockchain and data science as an underlying technology   Responsibilities As our Data Scientist you will  Process confidential data and information according to guidelines Help on build innovative data products using cutting edge tools and technologies Develop custom data models and algorithms to apply to data sets Undertake preprocessing of structured and unstructured data Analyse large amounts of information to discover trends and patterns Propose solutions and strategies to business challenges Coordinate with different functional teams to implement models and monitor outcomes   ,Ideal candidate should possess the skills as specified below   Required Technical and Professional Expertise  Proficiency using statistical computer languages R Python SLQ etc to manipulate data and draw insights from large data sets Have foundational knowledge of data structures and algorithms Excellent analytical interpersonal and communication skills Strong problemsolving skills with an emphasis on product development Experience working with and creating data architectures Knowledge of a variety of machine learning techniques clustering decision tree learning artificial neural networks etc and their realworld advantagesdrawbacks Knowledge of advanced statistical techniques and concepts regression properties of distributions statistical tests and proper usage etc and experience with applications Excellent written and verbal communication skills for coordinating across teams Experience with distributed datacomputing tools MapReduce Hadoop Hive Spark Dockers MySQL etc Experience visualizingpresenting data for stakeholders using Tableau High charts D3 gg plot etc    Good to have  Minimum 3 years working experience manipulating data sets and building statistical models has a Masters in Statistics Mathematics Computer Science or another quantitative field and is familiar with the softwaretools Experience with customizing Data Visualization tools Have fundamental knowledge of blockchain technology Software development experience added advantage A drive to learn and master new technologies and techniques    Whats in it for you  Help shape the future of a Data Analytics and Blockchain startup in Singapore with global aspirations Be yourself be engaged and have fun while youre at it Fair remuneration Open work culture ,Professional,Permanent,Information Technology,Undisclosed,4500.0,6000.0,5250.0
